EVALUATION RESULTS:
bleu,success,match
0.007316581110871972,0.8044280392363939,0.21874999996582029
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
624,2,,,,,
624,0,saya ingin sebuah restoran dengan harga yang menengah di bagian utara kota . apa alamatnya ?,utara EOS_Z1 address,menengah utara EOS_Z1 address,"i'm sorry , there are no restaurants serving modern food_SLOT food .",the nirala adalah sebuah restoran food_SLOT bagus dengan harga yang menengah di bagian area_SLOT kota . mereka terletak di 191 histon road chesterton . adakah hal lain yang dapat saya lakukan untukmu hari ini ?
624,1,the nirala adalah sebuah restoran india bagus dengan harga yang menengah di bagian utara kota . mereka terletak di 191 histon road chesterton . adakah hal lain yang dapat saya lakukan untukmu hari ini ?terima kasih sampai jumpa .,utara EOS_Z1,menengah utara EOS_Z1,"i'm sorry , there are no restaurants in the area_SLOT part of town that serve food_SLOT food .",terima kasih . sampai jumpa
645,2,,,,,
645,0,"saya ingin mencari sebuah restoran yang mahal dan menyediakan makanan eropa . bisakah saya juga mendapatkan alamat , nomor telepon dan daerah nya . ?",eropa EOS_Z1 address phone,eropa mahal EOS_Z1 address area phone,their phone number is 01223 361387 .,eraina adalah sebuah restoran food_SLOT di daerah area_SLOT . alamat mereka adalah st . michael 's church trinity street city area_SLOT dan nomor teleponnya adalah 01223 355166 .
645,1,eraina adalah sebuah restoran eropa di daerah pusat . alamat mereka adalah st . michael 's church trinity street city centre dan nomor teleponnya adalah 01223 355166 .terima kasih sampai jumpa,eropa EOS_Z1,eropa mahal EOS_Z1,"i'm sorry , there are no food_SLOT restaurants in the area_SLOT part of town .",terima kasih dan sampai jumpa
627,2,,,,,
627,0,saya mencari sebuah restoran inggris dengan harga yang menengah .,british EOS_Z1,inggris menengah EOS_Z1,"i'm sorry , there are no restaurants serving food_SLOT food in the area_SLOT part of town .",tidak ada restoran yang cocok dengan permintaanmu . bolehkah saya membantu kamu menemukan restoran yang berbeda ?
627,1,"tidak ada restoran yang cocok dengan permintaanmu . bolehkah saya membantu kamu menemukan restoran yang berbeda ?baiklah , jika begitu saya mencari sebuah restoran dengan makanan cina dengan harga yang menengah .",british EOS_Z1,cina menengah EOS_Z1,"i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry ,","saya memiliki empat restoran yang cocok dengan permintaanmu , apakah kamu ingin mendengarkan mereka semua atau mempersempit permintaanmu ?"
637,2,,,,,
637,0,halo ! saya mencari alamat dan nomor telepon dari restoran lebanon di daerah pusat .,lebanon EOS_Z1 address phone,lebanon pusat EOS_Z1 address phone,the phone number for food_SLOT is 01223 361387 .,ali baba adalah sebuah restoran food_SLOT di daerah area_SLOT . alamatnya adalah hills road city 59 . nomor teleponnya adalah 01462 432565
637,1,ali baba adalah sebuah restoran lebanon di daerah pusat . alamatnya adalah hills road city 59 . nomor teleponnya adalah 01462 432565terima kasih sampai jumpa .,lebanon EOS_Z1,lebanon pusat EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,terima kasih .
655,3,,,,,
655,0,"bisakah kamu rekomendasikan sebuah restoran yang menyediakan makanan perancis ? saya butuh alamat , nomor telepon dan kodepos nya . terimakasih .",chinese EOS_Z1 address phone,perancis EOS_Z1 address phone postcode,i have found several restaurants in the area_SLOT part of town .,kamu menginginkan restoran yang menyediakan makanan food_SLOT . apakah kamu memiliki preferensi untuk letak daerahnya ?
655,1,"kamu menginginkan restoran yang menyediakan makanan perancis . apakah kamu memiliki preferensi untuk letak daerahnya ?saya tidak peduli . tolong beri saya alamat , nomor telepon , dan kodepos nya .",chinese EOS_Z1 address phone,perancis tidak peduli EOS_Z1 address phone postcode,"i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry , i'm sorry ,","saya bisa merekomendasikan dua restoran yang menyediakan masakan food_SLOT : cote , terletak di bridge street city area_SLOT c .b2 , 1 u .f , nomor telepon 01223 311053 atau restaurant two two terletak di 22 chesterton road chesterton , c .b 4 , 3 a .x , nomor telepon 01223 351880"
655,2,"saya bisa merekomendasikan dua restoran yang menyediakan masakan perancis : cote , terletak di bridge street city centre c .b2 , 1 u .f , nomor telepon 01223 311053 atau restaurant two two terletak di 22 chesterton road chesterton , c .b 4 , 3 a .x , nomor telepon 01223 351880terima kasih sampai jumpa",chinese EOS_Z1,perancis tidak peduli EOS_Z1,"i'm sorry , there are no restaurants serving food_SLOT food in the area_SLOT part of town . would you like their address ?",sama sama .
