EVALUATION RESULTS:
bleu,success,match
0.18047176823504485,0.7976632982443075,0.7832699619474042
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
210,5,,,,,
210,0,find me a gas station .,gas station EOS_Z1,gas station EOS_Z1,the distance_SLOT poi_type_SLOT is poi_SLOT at address_SLOT,poi_SLOT is distance_SLOT away .
210,1,poi_SLOT is distance_SLOT away . are there any other locations that will take less time to reach ?,gas station EOS_Z1,gas station EOS_Z1,there is a poi_SLOT distance_SLOT away and there is traffic_info_SLOT on our way,"i'm sorry , poi_SLOT is the only poi_type_SLOT i am able to locate"
210,2,"i'm sorry , poi_SLOT is the only gas station i am able to locate ok send me the address please .",gas station EOS_Z1,gas station EOS_Z1,poi_SLOT is at address_SLOT,"its address is address_SLOT , i sent it on your screen"
210,3,"its address is address_SLOT , i sent it on your screen thank you .",gas station EOS_Z1,gas station EOS_Z1,"you're welcome , have a great day .",you're welcome; drive safely .
210,4,you're welcome; drive safely . great !,gas station EOS_Z1,gas station EOS_Z1,"you're welcome , have a great day .",no problem
258,5,,,,,
258,0,take me to a place where i can get some hot tea,hot EOS_Z1,hot EOS_Z1,there is a poi_SLOT distance_SLOT away .,poi_SLOT is distance_SLOT and serves tea .
258,1,poi_SLOT is distance_SLOT and serves tea . how 's the traffic ?,EOS_Z1 traffic_info,hot EOS_Z1 traffic_info,there is traffic_info_SLOT on the route .,traffic_info_SLOT to poi_SLOT
258,2,traffic_info_SLOT to poi_SLOT give me the address .,EOS_Z1,hot EOS_Z1,"the address is address_SLOT , i sent it on your screen",poi_SLOT 's address is address_SLOT ave .
258,3,coupa 's address is address_SLOT ave . is there an alternate route with no traffic ?,EOS_Z1,hot EOS_Z1 traffic_info,there is traffic_info_SLOT on the route .,no but poi_SLOT is just distance_SLOT away and has traffic_info_SLOT so we should be able to get there quicker . how does that sound ?
258,4,"no but poi_SLOT is just distance_SLOT away and has traffic_info_SLOT so we should be able to get there quicker . how does that sound ? it sounds great ! thank you car , let 's navigate there please !",EOS_Z1,hot EOS_Z1,"you're welcome , i'm here to assist you !","ok , initiating navigation ."
212,5,,,,,
212,0,are there any chinese restaurants nearby ?,nearby ; chinese EOS_Z1,nearby ; chinese EOS_Z1,there is poi_SLOT distance_SLOT away and poi_SLOT distance_SLOT away .,we're distance_SLOT away from poi_SLOT and distance_SLOT away from poi_SLOT
212,1,we're distance_SLOT away from poi_SLOT and distance_SLOT away from poi_SLOT which one has the fastest route ?,nearby ; chinese EOS_Z1,chinese EOS_Z1,there is traffic_info_SLOT on the route .,poi_SLOT is distance_SLOT .
212,2,poi_SLOT is closer . what is the address ?,nearby ; chinese EOS_Z1,chinese EOS_Z1,poi_SLOT is located at address_SLOT,poi_SLOT is located at address_SLOT
