EVALUATION RESULTS:
bleu,success,match
0.0023267224685850074,0.23809523504830393,0.2509505703326635
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
232,2,,,,,
232,0,"i need to find out some info for my optometrist appointment , the date and time please .",<extra_id_0>ometrist appointment EOS_Z1 optometrist appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,optometrist appointment EOS_Z1 date time,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,"okay , which one ? i have one for date_SLOT at time_SLOT , and one for date_SLOT at time_SLOT"
232,1,"okay , which one ? i have one for date_SLOT at 9am , and one for date_SLOT at time_SLOT that will do , thanks .",<extra_id_0> appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,optometrist appointment EOS_Z1,you're welcome ! appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,you're welcome .
102,2,,,,,
102,0,look up san francisco 's two day weather info to see if it will be warm,<extra_id_0> francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco,warm ; two day ; san francisco EOS_Z1 weather_attribute,you're welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome,it will be weather_attribute_SLOT and weather_attribute_SLOT in location_SLOT in the next weekly_time_SLOT .
102,1,it will be weather_attribute_SLOT and hailing in san francisco in the next two days . thank you .,<extra_id_0> francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco francisco,warm ; two day ; san francisco EOS_Z1,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,no problem .
65,2,,,,,
65,0,will there be drizzle in cleveland tomorrow ?,<extra_id_0> drizzle ; drizzle ; drizzle ; drizzle tomorrow ; drizzle tomorrow ; drizzle tomorrow ; drizzle tomorrow ; drizzle tomorrow,drizzle ; tomorrow ; cleveland EOS_Z1,you're welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !SLOT is welcome !,it will not weather_attribute_SLOT in location_SLOT party_SLOT .
65,1,it will not drizzle in cleveland tomorrow . thanks .,<extra_id_0> drizzle ; drizzle ; drizzle ; drizzle ; drizzle ; drizzle ; drizzle ; drizzle ; drizzle ; drizzle,drizzle ; tomorrow ; cleveland EOS_Z1,you're welcome . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT party_SLOT . weather_attribute_SLOT,no problem .
147,2,,,,,
147,0,will it snow in fresno during this week ?,<extra_id_0> ; fresno ; fresno ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,snow ; fresno EOS_Z1,you're welcome ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,date_SLOT it will weather_attribute_SLOT in location_SLOT
147,1,saturday it will snow in fresno thank you very much !,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,snow ; fresno EOS_Z1,you are welcome ! ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,glad to help
195,2,,,,,
195,0,schedule a dentist appointment on the 8th at 1 pm . ana will be joining you .,<extra_id_0> dentist dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist,8th ; ana ; dentist appointment ; 1pm EOS_Z1 time,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,"okay , scheduling a event_SLOT with party_SLOT on date_SLOT at time_SLOT"
195,1,"okay , scheduling a dentist appointment with ana on the 8th at time_SLOT thanks !",EOS_Z1 appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist appointment dentist,8th ; ana ; dentist appointment ; 1pm EOS_Z1,you are welcome ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,glad i can assist you .
200,2,,,,,
200,0,schedule taking medicine with martha at 5pm next wednesday .,<extra_id_0> ; martha ; martha ; 5pm ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha,martha ; taking medicine ; 5pm EOS_Z1,you're welcome . ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,okay scheduling event_SLOT with party_SLOT at time_SLOT next date_SLOT .
200,1,okay scheduling taking medicine with martha at 5pm next wednesday . thank you !,<extra_id_0> ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha ; martha,martha ; taking medicine ; 5pm EOS_Z1,you're welcome ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,event_SLOT scheduled for next date_SLOT at 5 pm
96,2,,,,,
96,0,i would like to know who is attending my meeting and when it is .,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,meeting EOS_Z1 date party,you're welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome .,your party_SLOT will be at the event_SLOT on date_SLOT at 1 pm .
96,1,your party_SLOT will be at the meeting on date_SLOT at 1 pm . thanks .,EOS_Z1 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,meeting EOS_Z1,you're welcome ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,happy to help
160,2,,,,,
160,0,"assistant schedule an appointment at the dentist , 9am of the 12th of current month . bring martha with me",<extra_id_0> dentist EOS_Z1 dentist appointment dentist appointment dentist appointment dentist appointment appointment dentist appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,12th ; martha ; dentist ; 9am EOS_Z1,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,i am setting an appointment at the event_SLOT on date_SLOT of current month at address_SLOT party_SLOT .
160,1,i am setting an appointment at the dentist on the 12th of current month at address_SLOT martha . thank you !,<extra_id_0> appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,12th ; martha ; dentist ; 9am EOS_Z1,you're welcome ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,you are welcome .
69,3,,,,,
69,0,please give me the address and directions via the fastest route to a pizza restaurant within 4 miles of me .,<extra_id_0> pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza,pizza restaurant EOS_Z1,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,you will find poi_SLOT at address_SLOT it is distance_SLOT away without any traffic
69,1,"you will find poi_SLOT at address_SLOT it is distance_SLOT away without any traffic ok , please direct me there via the fastest route .",<extra_id_0> pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza,pizza restaurant EOS_Z1,you're welcome ! poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT,fastest route being programmed for poi_SLOT
69,2,fastest route being programmed for poi_SLOT okay thanks,<extra_id_0> pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza restaurant ; pizza,pizza restaurant EOS_Z1,you're welcome ! poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT ; poi_type_SLOT,you're welcome !
207,3,,,,,
207,0,which days are rain forecasted,<extra_id_0> forecast ; forecast ; forecast ; forecast forecast ; forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast,rain EOS_Z1,you're welcome . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast . forecast .,what city would you like weather information about ?
207,1,what city would you like weather information about ? tell me if it is raining in oakland right now .,<extra_id_0> ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast,rain ; oakland EOS_Z1,you're welcome . forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast forecast,the weather forecast for location_SLOT does not show weather_attribute_SLOT right now .
207,2,the weather forecast for oakland does not show rain right now . thanks .,<extra_id_0> ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast,rain ; oakland EOS_Z1,you're welcome . forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ; forecast ;,you are welcome .
243,3,,,,,
243,0,get me directions to the nearest starbucks,<extra_id_0>est ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,nearest EOS_Z1 poi,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,i am unable to locate poi_SLOT . there is a poi_type_SLOT called poi_SLOT mile away .
243,1,i am unable to locate starbucks . there is a coffee or tea place called poi_SLOT mile away . then let 's go there car ! please send me its address on screen and pick the fastest route for me,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,EOS_Z1,you're welcome ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,poi_SLOT is distance_SLOT away with traffic_info_SLOT it shouldn't take us long . it 's located at address_SLOT avenue .
243,2,poi_SLOT is distance_SLOT away with traffic_info_SLOT it shouldn't take us long . it 's located at address_SLOT avenue . thanks so much for the information .,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,EOS_Z1,you're welcome . ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,you're welcome !
140,3,,,,,
140,0,will it snow this week,<extra_id_0> ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow,snow EOS_Z1,you're welcome ! weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather_ weather,what city can i check for weather_attribute_SLOT for you ?
140,1,what city can i check for snow for you ? alameda,<extra_id_0> ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow,snow ; alameda EOS_Z1,you are welcome ! weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT,weather_attribute_SLOT is predicted to fall on date_SLOT in location_SLOT
140,2,snow is predicted to fall on saturday in alameda thank you car !,<extra_id_0> ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow ; snow,snow ; alameda EOS_Z1,you're welcome ! ! weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT ; weather_attribute_SLOT,you're welcome !
170,3,,,,,
170,0,find a coffee place,<extra_id_0> coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee,coffee EOS_Z1,you're welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome ! welcome,poi_SLOT serves poi_type_SLOT and is distance_SLOT away at address_SLOT
170,1,"poi_SLOT serves coffee and is distance_SLOT away at address_SLOT sounds great , let 's go there .",<extra_id_0> coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee,coffee or tea place EOS_Z1,you're welcome . poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT place ; poi_type_SLOT,there is traffic_info_SLOT on the distance_SLOT route to poi_SLOT; enjoy .
170,2,there is traffic_info_SLOT on the distance_SLOT route to philz; enjoy . thank you .,<extra_id_0> coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee place ; coffee,coffee or tea place EOS_Z1,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,you're welcome .
183,3,,,,,
183,0,"i need to find out the parties attending and the date for my lab appointment , thanks .",<extra_id_0> appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,lab appointment EOS_Z1 date party,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,your event_SLOT appointment is on date_SLOT and your party_SLOT will be attending .
183,1,"your lab appointment is on date_SLOT and your party_SLOT will be attending . great , thank you so much !",EOS_Z1 appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,lab appointment EOS_Z1,you're welcome ! appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,the event_SLOT appointment is schedule for address_SLOT date_SLOT and your party_SLOT will be attending .
183,2,the lab appointment is schedule for address_SLOT date_SLOT and your party_SLOT will be attending . thank you .,<extra_id_0> appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,lab appointment EOS_Z1,you're welcome ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,you're welcome
268,3,,,,,
268,0,what time is my meeting tomorrow and what is the agenda,<extra_id_0> agenda tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,tomorrow ; meeting EOS_Z1,you're welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome,your event_SLOT is scheduled for address_SLOT the agenda is to agenda_SLOT
268,1,your meeting is scheduled for address_SLOT the agenda is to agenda_SLOT thanks,<extra_id_0> tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,tomorrow ; meeting ; discuss the merger ; 2pm EOS_Z1,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,you are welcome .
268,2,you are welcome . thanks again .,<extra_id_0> tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,tomorrow ; meeting ; discuss the merger ; 2pm EOS_Z1,you are welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome . welcome .,you are welcome
105,3,,,,,
105,0,what 's the weather like today and tomorrow,<extra_id_0> weather tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,today EOS_Z1,you're welcome ! weather_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_SLOT_S,what city are you wanting to know the weather for ?
105,1,"what city are you wanting to know the weather for ? seatlle , i want to know if it will be foggy today and tomorrow .",<extra_id_0> tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,tomorrow ; foggy ; seattle EOS_Z1 weather_attribute,you're welcome . weather . weather . weather . weather . weather_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow_tomorrow,party_SLOT in location_SLOT is looking weather_attribute_SLOT with a low of temperature_SLOT and a high of temperature_SLOT . no sign of fog .
105,2,tomorrow in seattle is looking weather_attribute_SLOT with a low of temperature_SLOT and a high of temperature_SLOT . no sign of fog . thanks !,<extra_id_0> tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow tomorrow,tomorrow ; foggy ; seattle EOS_Z1,you're welcome ! !SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT .SLOT,no problem !
261,3,,,,,
261,0,when is the next cloudy day,<extra_id_0> cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day,cloudy EOS_Z1,you're welcome . the next day . the next day . the next day . the next day . the next day . the next day . the next day . the next day . the next day . the next day . the next day . the,what city are you asking about ?
261,1,"what city are you asking about ? manhattan , please . will it be cloudy on monday ?",<extra_id_0> ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy,cloudy ; monday ; manhattan EOS_Z1,you're welcome ! ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day ; weather_attribute_SLOT day,"date_SLOT will be weather_attribute_SLOT , with low 's of temperature_SLOT and high 's of temperature_SLOT . similar heh ."
261,2,"monday will be foggy , with low 's of temperature_SLOT and high 's of temperature_SLOT . similar heh . thank you .",EOS_Z1 cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day ; cloudy day,cloudy ; monday ; manhattan EOS_Z1,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,no problem !
123,3,,,,,
123,0,what 's the temperature going to be like this week,<extra_id_0> temperature ; week ; temperature ; week ; week ; week ; week ; week ; week ; week ; week ; week ; week ; week ; week ; week ; week,EOS_Z1,you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome ! you're welcome !,what city are you in ?
