EVALUATION RESULTS:
bleu,success,match
0.2065409331341628,0.7956989197209698,0.8593749998657225
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
661,4,,,,,
661,0,i would like a moderately priced restaurant in the north part of town,moderate north EOS_Z1,moderate north EOS_Z1,there are two pricerange_SLOT priced restaurants in the area_SLOT part of town . do you have a preference of food ?,"there are two pricerange_SLOT priced restaurants in the area_SLOT , an food_SLOT restaurant and a food_SLOT restaurant . would you like more information ?"
661,1,"there are two moderately priced restaurants in the north , an italian restaurant and a chinese restaurant . would you like more information ?what is the address of anyone of them ?",moderate north EOS_Z1 address,moderate north EOS_Z1 address,the address for pizza hut cherry hinton is g4 cambridge leisure park clifton way cherry hinton . is there anything else i can help you with ?,the golden wok is a pricerange_SLOT priced food_SLOT restaurant in the area_SLOT located at 191 histon road chesterton . can i be of further assistance ?
661,2,the golden wok is a moderately priced chinese restaurant in the north located at 191 histon road chesterton . can i be of further assistance ? thank you,moderate north EOS_Z1,moderate north EOS_Z1,you're welcome . goodbye .,"you're welcome , enjoy your food ."
661,3,"you're welcome , enjoy your food .thank you goodbye .",moderate north EOS_Z1,moderate north EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,good bye . thank you for using the system .
641,4,,,,,
641,0,"a restaurant in the moderately priced range , please",moderate EOS_Z1,moderate EOS_Z1,there are two restaurants in the pricerange_SLOT price range . do you have a preference ?,there is a lot of restaurants in the pricerange_SLOT priced range . please tell me the area or the food you would like today .
641,1,"there is a lot of restaurants in the moderate priced range . please tell me the area or the food you would like today . okay , would it help to narrow it down to the west part of town ? i am having trouble deciding what i want to eat today .",moderate west EOS_Z1,moderate west EOS_Z1,there are two restaurants in the pricerange_SLOT price range . what price range would you like ?,"meghna is an food_SLOT restaurant in the area_SLOT part of town , and is in the pricerange_SLOT price range ."
641,2,"meghna is an italian restaurant in the west part of town , and is in the moderate price range .phone number , please .",moderate west EOS_Z1 phone,moderate west EOS_Z1 phone,the phone number for meghna is 01223 727410 and they are located at 205 victoria road chesterton . is there anything else i can help you with ?,meghna 's phone number is 01223 727410 . is there anything else i can do for you tonight ?
641,3,meghna 's phone number is 01223 727410 . is there anything else i can do for you tonight ?thank you very much ! goodbye !,moderate west EOS_Z1,moderate west EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,thank you and goodbye !
630,4,,,,,
630,0,i would like an expensive restaurant in the south part of town,expensive south EOS_Z1,expensive south EOS_Z1,there are two pricerange_SLOT restaurants in the area_SLOT part of town . what kind of food would you like ?,"there are food_SLOT , food_SLOT , food_SLOT and food_SLOT restaurants in the area . are there any food type in particular you would like ?"
630,1,"there are mexican , chinese , italian and indian restaurants in the area . are there any food type in particular you would like ?i don't care .",expensive south EOS_Z1,expensive south EOS_Z1,there are two restaurants in the pricerange_SLOT price range that serve food_SLOT food . do you have a preference ?,chiquito restaurant bar is a food_SLOT restaurant located in the area_SLOT part of town and is in the pricerange_SLOT price range .
630,2,chiquito restaurant bar is a mexican restaurant located in the south part of town and is in the expensive price range .what is the address and phone number ?,expensive south EOS_Z1 address phone,expensive south EOS_Z1 address phone,chiquito restaurant bar is located at 2g cambridge leisure park cherry hinton road cherry hinton and their phone number is 01223 400170 . is there anything else i can help you with ?,chiquito restaurant bar is located at 2g cambridge leisure park cherry hinton road cherry hinton and their phone number is 01223 400170 .
630,3,chiquito restaurant bar is located at 2g cambridge leisure park cherry hinton road cherry hinton and their phone number is 01223 400170 .thank you . good bye .,expensive south EOS_Z1,expensive south EOS_Z1,you're welcome . goodbye .,thank you good bye
656,4,,,,,
656,0,saya ingin sebuah restoran murah yang menyediakan makanan yunani,yunani murah EOS_Z1,yunani murah EOS_Z1,tidak ada restoran yang cocok dengan permintaanmu . apakah kamu ingin mencoba yang lain ?,saya tidak dapat menemukan sebuah restoran food_SLOT . apakah ada yang kamu minati .
656,1,saya tidak dapat menemukan sebuah restoran yunani . apakah ada yang kamu minati .tolong periksa makanan italia . saya juga membutuhkan alamat dan nomor telepon .,italia murah EOS_Z1 address phone,italia murah EOS_Z1 address phone,"iya , alamatnya adalah 35 saint andrews street city area_SLOT dan nomor teleponnya adalah 01223 361763 .","terdapat lima entri untuk makanan food_SLOT di kisaran harga yang pricerange_SLOT . apakah ada daerah kota yang paling cocok untukmu daerah area_SLOT , area_SLOT , atau area_SLOT ?"
656,2,"terdapat lima entri untuk makanan italia di kisaran harga yang murah . apakah ada daerah kota yang paling cocok untukmu daerah utara , pusat , atau barat ?itu tidak penting .",italia murah tidak peduli EOS_Z1,tidak peduli italia murah EOS_Z1,galleria adalah sebuah restoran food_SLOT di bagian area_SLOT kota . apakah kamu ingin alamat dan nomor teleponnya ?,bagaimana dengan da vinci pizzeria ? terletak di 20 milton road chesterton dan nomor teleponnya adalah 01223 351707 .
656,3,bagaimana dengan da vinci pizzeria ? terletak di 20 milton road chesterton dan nomor teleponnya adalah 01223 351707 .terima kasih . sampai jumpa !,italia murah tidak peduli EOS_Z1,italia murah tidak peduli EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,"terimakasih telah menggunakan layanan kami , selamat tinggal ."
633,4,,,,,
