EVALUATION RESULTS:
bleu,success,match
3.452735998866353e-05,0.23703703390946504,0.24137931030321047
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
3,5,,,,,
3,0,carikan coffee shop terdekat,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat EOS_Z1,sama-sama ! saya dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT dengan distance_SLOT,coffee shop distance_SLOT adalah poi_SLOT
3,1,"coffee shop terdekat adalah poi_SLOT tolong bisakah anda memberikan saya alamatnya , dan jaraknya dari sini ?",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat EOS_Z1,sama-sama ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya !,"poi_SLOT berjarak 6 ,distance_SLOT di address_SLOT"
3,2,"poi_SLOT berjarak 6 ,distance_SLOT di address_SLOT terima kasih bagaimana dengan lalu lintas disana ?",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat EOS_Z1 traffic_info,sama-sama ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdapat traffic_info_SLOT di rute perjalanannya sekarang
3,3,"terdapat traffic_info_SLOT di rute perjalanannya sekarang ok , tolong atur gps dan navigasinya kesana",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat EOS_Z1,sama-sama ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,gps telah diatur dan kita sedang menuju kesana
3,4,"gps telah diatur dan kita sedang menuju kesana terima kasih , mobil",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat EOS_Z1,sama-sama ! ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,sama-sama
23,5,,,,,
23,0,mobil saya membutuhkan sebuah garasi parkir terdekat dari posisi saya : tolong bantu saya !,<extra_id_0> ; garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi parkir EOS_Z1 garasi,terdekat ; garasi parkir EOS_Z1,sama-sama ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya ! saya !,"poi_SLOT berjarak 6 ,distance_SLOT"
23,1,"poi_SLOT berjarak 6 ,distance_SLOT apakah itu yang paling terdekat ? jika iya kirimkan saya alamatnya secepat mungkin",<extra_id_0> ; garasi parkir EOS_Z1 parkir EOS_Z1 parkir ; garasi parkir EOS_Z1 parkir ; garasi parkir EOS_Z1 parkir ; garasi parkir EOS_Z1 parkir ; garasi parkir EOS_Z1 parkir,terdekat ; garasi parkir EOS_Z1,sama-sama ! saya akan ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin,poi_SLOT berada di 880ames ct
23,2,"poi_SLOT berada di 880ames ct apakah itu yang paling terdekat dengan lancar ? jika ya , berikan saya arahnya",<extra_id_0> ; garasi parkir EOS_Z1 parkir ; garasi parkir EOS_Z1 parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir,terdekat ; garasi parkir EOS_Z1,sama-sama ! saya akan ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin,ini dia arah menuju poi_SLOT
23,3,ini dia arah menuju poi_SLOT buatkan rute tercepat menuju webster garage dengan lancar,<extra_id_0> ; garasi parkir EOS_Z1 garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ;,terdekat ; garasi parkir EOS_Z1 traffic_info,sama-sama ! saya akan ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin ingin,"terdapat traffic_info_SLOT di rute kita akan tetapi anda dapat sampai kesana dengan distance_SLOT . saya telah mengirimkan informasinya di layarmu , tolong berkendara dengan hati-hati !"
23,4,"terdapat traffic_info_SLOT di rute kita akan tetapi anda dapat sampai kesana dengan cepat . saya telah mengirimkan informasinya di layarmu , tolong berkendara dengan hati-hati ! terima kasih mobil !",<extra_id_0> ; garasi parkir EOS_Z1 garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ; garasi parkir ;,terdekat ; garasi parkir EOS_Z1,sama-sama ! saya akan senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang senang,sama-sama !
11,3,,,,,
