EVALUATION RESULTS:
bleu,success,match
2.8040591927264375e-05,0.5674931081298332,0.1333333333111111
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
25,2,,,,,
25,0,apakah akan terjadi suhu terendah pada jumat di alhambra ?,humid ; alhambra EOS_Z1,hangat ; jumat ; alhambra EOS_Z1,it will not be weather_attribute_SLOT in location_SLOT this weekly_time_SLOT .,suhu di location_SLOT mempunyai suhu serendah temperature_SLOT dan setinggi temperature_SLOT pada date_SLOT
25,1,suhu di alhambra mempunyai suhu serendah temperature_SLOT dan setinggi temperature_SLOT pada jumat terima kasih,humid ; alhambra EOS_Z1,hangat ; jumat ; alhambra EOS_Z1,you are welcome .,sama-sama
27,2,,,,,
27,0,"dimanakah dan di hari apakah pertemuan saya , dan apa agendanya ?",meeting EOS_Z1 agenda agenda,pertemuan EOS_Z1 agenda date event,i have two event_SLOT scheduled . one on date_SLOT at time_SLOT with party_SLOT dan another on date_SLOT with party_SLOT,"saat ini anda memiliki tiga event_SLOT yang terjadwal . yang pertama pada date_SLOT di event_SLOT room address_SLOT piknik perusahaan , yang kedua pada date_SLOT di address_SLOT untuk untuk agenda_SLOT dan yang terakhir pada date_SLOT di ruangan event_SLOT address_SLOT dresscode"
27,1,"saat ini anda memiliki tiga pertemuan yang terjadwal . yang pertama pada date_SLOT di event_SLOT room address_SLOT piknik perusahaan , yang kedua pada date_SLOT di address_SLOT untuk untuk agenda_SLOT dan yang terakhir pada date_SLOT di ruangan event_SLOT address_SLOT dresscode terima kasih",meeting EOS_Z1,pertemuan EOS_Z1,you are welcome .,sama-sama
54,2,,,,,
54,0,tanggal berapa berenang saya dan siapa saja yang hadir ?,EOS_Z1,aktivitas berenang EOS_Z1 date party,i have two listed . which would you like to know about ?,"saya memiliki dua , yang mana yang ingin anda tahu ? yang pertama pada date_SLOT pukul address_SLOT ana atau satu lagi pada date_SLOT pukul address_SLOT party_SLOT"
54,1,"saya memiliki dua , yang mana yang ingin anda tahu ? yang pertama pada date_SLOT pukul address_SLOT ana atau satu lagi pada date_SLOT pukul address_SLOT party_SLOT keduanya",EOS_Z1,aktivitas berenang EOS_Z1 date event party,"i have two listedlisted , both have one parties , one on date_SLOT at time_SLOT and another on date_SLOT at time_SLOT",event_SLOT anda telah dijadwalkan pada date_SLOT pukul address_SLOT party_SLOT dan date_SLOT pukul address_SLOT party_SLOT
53,2,,,,,
53,0,tolong buatkan pengingat bahwa saya akan konferensi call bersama vp pada august 1 tanggal 4 pukul 6 malam,EOS_Z1,konferensi ; pukul 6 malam EOS_Z1,i will set a reminder for your event_SLOT call on august 1 pm .,oke sedang mengatur pengingat untuk event_SLOT call anda bersama vp pada august address_SLOT time_SLOT
53,1,oke sedang mengatur pengingat untuk konferensi call anda bersama vp pada august address_SLOT pukul 6 malam terima kasih,EOS_Z1,konferensi ; pukul 6 malam EOS_Z1,"i am sorry , i am sorry . i am sorry . i am sorry . i am sorry . i am sorry . i am sorry . i am sorry . i",senang dapat membantu
17,2,,,,,
17,0,tolong beritahu saya mengenai waktu dan tanggal untuk pertemuan saya selanjutnya yang terjadwal dan apa yang saya harapkan untuk diselesaikan pada acara tersebut,EOS_Z1 date,pertemuan EOS_Z1 agenda date,i have two parties scheduled . one on date_SLOT at time_SLOT with party_SLOT another on date_SLOT with party_SLOT another on date_SLOT with party_SLOT,event_SLOT anda selanjutnya pada date_SLOT pukul address_SLOT tujuannya untuk agenda_SLOT
17,1,pertemuan anda selanjutnya pada date_SLOT pukul address_SLOT tujuannya untuk agenda_SLOT dimanakah lokasi untuk pertemuan ?,EOS_Z1,pertemuan EOS_Z1,the address of the event_SLOT is address_SLOT,lokasinya di address_SLOT
60,2,,,,,
60,0,bisakah anda memberitahu saya dokter saya selanjutnya dan orang yang mungkin bergabung bersama saya ?,EOS_Z1,janji temu dengan dokter EOS_Z1 date party,you have two event_SLOT scheduled . one on date_SLOT at time_SLOT with your party_SLOT and another on date_SLOT with your party_SLOT,"anda memiliki tiga event_SLOT yang telah terjadwal dengan event_SLOT : satu pada date_SLOT , dua pada date_SLOT , dan satu lagi pada date_SLOT untuk jadwal yang mana yang kamu ingin tahu lebih lanjut ?"
60,1,"anda memiliki tiga dokter yang telah terjadwal dengan dokter : satu pada tanggal 5 , dua pada tanggal 8 , dan satu lagi pada date_SLOT untuk jadwal yang mana yang kamu ingin tahu lebih lanjut ? saya ingin informasi lebih mengenai janjian pada tanggal 5",dentist EOS_Z1,janji temu dengan dokter ; tanggal 5 EOS_Z1 party,i have set a reminder for your event_SLOT 's appointment on date_SLOT at time_SLOT,"ya , kegiatan itu ada pada pukul address_SLOT party_SLOT anda"
22,2,,,,,
22,0,jam berapa pertemuan saya dan dimana lokasinya ?,EOS_Z1,pertemuan EOS_Z1 time,i have two event_SLOT scheduled . one on date_SLOT at time_SLOT with your party_SLOT and another on date_SLOT with your party_SLOT,event_SLOT anda telah dijadwalkan pada date_SLOT time_SLOT
22,1,pertemuan anda telah dijadwalkan pada date_SLOT time_SLOT dimanakah pertemuan ?,EOS_Z1,pertemuan EOS_Z1,i have scheduled a event_SLOT on date_SLOT at time_SLOT with party_SLOT,event_SLOT anda dilakukan di address_SLOT
19,2,,,,,
19,0,akankah hujan di manhattan hari ini dan besok ?,humid ; manhattan EOS_Z1,hujan ; manhattan EOS_Z1 weather_attribute,"no , it 's not gonna be weather_attribute_SLOT in location_SLOT weekly_time_SLOT_time_SLOT or party_SLOT","tidak , tidak akan terjadi weather_attribute_SLOT di location_SLOT untuk weekly_time_SLOT_time_SLOT ke depan , cuaca akan weather_attribute_SLOT weekly_time_SLOT_time_SLOT dan weather_attribute_SLOT weekly_time_SLOT_time_SLOT"
19,1,"tidak , tidak akan terjadi hujan di manhattan untuk dua hari ke depan , cuaca akan weather_attribute_SLOT hari ini dan weather_attribute_SLOT besok terima kasih",humid ; manhattan EOS_Z1,hujan ; manhattan EOS_Z1,you are welcome .,senang saya dapat membantu
58,2,,,,,
