EVALUATION RESULTS:
bleu,success,match
0.00012421806281190015,0.22988505475315985,0.18333333330277776
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
3,5,,,,,
3,0,carikan coffee shop terdekat,<extra_id_0> ; shopping center EOS_Z1 � makan ; kerja sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdekat ; coffee EOS_Z1,you're welcome . samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama samasama sama,poi_type_SLOT shop distance_SLOT adalah poi_SLOT
3,1,"coffee shop terdekat adalah poi_SLOT tolong bisakah anda memberikan saya alamatnya , dan jaraknya dari sini ?",<extra_id_0> sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdekat ; coffee EOS_Z1,sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,"poi_SLOT berjarak 6 ,distance_SLOT di address_SLOT"
3,2,"poi_SLOT berjarak 6 ,distance_SLOT di address_SLOT terima kasih bagaimana dengan lalu lintas disana ?",<extra_id_0> sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdekat ; coffee EOS_Z1 traffic_info,sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdapat traffic_info_SLOT di rute perjalanannya sekarang
3,3,"terdapat traffic_info_SLOT di rute perjalanannya sekarang ok , tolong atur gps dan navigasinya kesana",<extra_id_0> sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdekat ; coffee EOS_Z1,sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,gps telah diatur dan kita sedang menuju kesana
3,4,"gps telah diatur dan kita sedang menuju kesana terima kasih , mobil",<extra_id_0> sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,terdekat ; coffee EOS_Z1,sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,sama-sama
23,5,,,,,
23,0,mobil saya membutuhkan sebuah garasi parkir terdekat dari posisi saya : tolong bantu saya !,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat ; garasi parkir EOS_Z1,you're welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome ! saya welcome !,"poi_SLOT berjarak 6 ,distance_SLOT"
23,1,"poi_SLOT berjarak 6 ,distance_SLOT apakah itu yang paling terdekat ? jika iya kirimkan saya alamatnya secepat mungkin",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat ; garasi parkir EOS_Z1,yang i i i i i i i i i i i i i i i i i i i i i i i i,poi_SLOT berada di 880ames ct
23,2,"poi_SLOT berada di 880ames ct apakah itu yang paling terdekat dengan lancar ? jika ya , berikan saya arahnya",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat ; garasi parkir EOS_Z1,yang ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,ini dia arah menuju poi_SLOT
23,3,ini dia arah menuju poi_SLOT buatkan rute tercepat menuju webster garage dengan lancar,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat ; garasi parkir EOS_Z1 traffic_info,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,"terdapat traffic_info_SLOT di rute kita akan tetapi anda dapat sampai kesana dengan distance_SLOT . saya telah mengirimkan informasinya di layarmu , tolong berkendara dengan hati-hati !"
23,4,"terdapat traffic_info_SLOT di rute kita akan tetapi anda dapat sampai kesana dengan cepat . saya telah mengirimkan informasinya di layarmu , tolong berkendara dengan hati-hati ! terima kasih mobil !",<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,terdekat ; garasi parkir EOS_Z1,i i i i i i i i i i i i i i i i i i i i i i i i i,sama-sama !
62,1,,,,,
62,0,jadwalkan sebuah tennis pada pukul 9 pagi tanggal ketiga belas bersama kakak saya,<extra_id_0> kakak saya ; tennis EOS_Z1 ateľ makan kakak saya sama ; tennis ; 9 pagi ; tennis ; 9 pagi ; 9 pagi ; tennis ; 9 pagi ; 9 pagi ; tennis ; 9 pagi,tanggal 13 ; kakak ; tennis ; pukul 9 pagi EOS_Z1,sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama sama,pengingat untuk event_SLOT bersama party_SLOT pada date_SLOT belas pukul address_SLOT disetel
35,1,,,,,
35,0,tanggal dan jam berapa janji temu dengan dokter saya selanjutnya ?,<extra_id_0> dokter EOS_Z1 седа dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter dokter,janji temu dengan dokter EOS_Z1 date time,saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya event_SLOT saya,event_SLOT temu dengan event_SLOT anda selanjutnya akan ada pada date_SLOT time_SLOT
6,1,,,,,
6,0,tolong ingatkan saya untuk meminum obat di pukul 7 malam hari ini bersama ibu saya,<extra_id_0> ibu saya ; 7 malam hari ; 7 malam hari ini ; 7 malam hari ini ; 7 malam hari ini ; 7 malam hari ini ; 7 malam hari ini ; 7 malam hari ini ; 7 malam hari ini,hari ini ; ibu ; pukul 7 malam EOS_Z1,you're welcome . semua ini adalah samasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasamasama,sedang mengatur pengingat untuk meminum obat bersama party_SLOT anda weekly_time_SLOT_time_SLOT tepatnya time_SLOT
10,3,,,,,
10,0,saya akan berobat pada tanggal ketujuh,<extra_id_0> ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketu,tanggal 7 EOS_Z1,yang terbaik untuk date_SLOT tanggal ketujuh date_SLOT tanggal ketujuh date_SLOT tanggal ketujuh date_SLOT tanggal ketujuh date_SLOT tanggal ketujuh date_SLOT tanggal ketu,"sedang mengatur pengingat untuk berobat pada date_SLOT , untuk waktunya sebaiknya saya menambahkan apa ?"
10,1,"sedang mengatur pengingat untuk berobat pada tanggal ketujuh , untuk waktunya sebaiknya saya menambahkan apa ? tolong atur di pukul 3 sore bibi saya akan berada di sana",<extra_id_0> ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketu,tanggal 7 ; bibi ; pukul 3 sore EOS_Z1 event,you're welcome . semua ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh,"oke , mengatur pengingat dengan tujuan meminum obat pada date_SLOT pukul address_SLOT party_SLOT anda"
10,2,"oke , mengatur pengingat dengan tujuan meminum obat pada tanggal ketujuh pukul address_SLOT bibi anda baik , saya mengapresiasinya terima kasih !",<extra_id_0> ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketu,tanggal 7 ; bibi ; pukul 3 sore EOS_Z1,you're welcome ! semua ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh ; ketujuh,senang dapat membantu
9,3,,,,,
