EVALUATION RESULTS:
bleu,success,match
6.107074734458403e-05,0.053571428045280624,0.0
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
40,3,,,,,
40,0,cek cuaca untuk kemungkinan terjadinya salju,EOS_Z1 untuk cek EOS_Z1 cucuaca cek cucuaca cek cucuaca cek cucuaca cek cucuaca cek cucuaca,EOS_Z1,cek cekcu [value_department] [value_department] cekcu [value_department] [value_department] cekcuaca cekcuaca cekcuaca untuk cekcuaca untuk cekcuaca untuk cekcuaca untuk cekcuaca untuk cekcuaca untuk cekcuaca untuk cekcu,lokasi mana yang anda ingin ketahui cuacanya ?
40,1,lokasi mana yang anda ingin ketahui cuacanya ? manhattan,EOS_Z1 <extra_id_14> EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 [value_department] EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 [value_department] lihat EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 <extra_id_15> EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 a EOS_Z1 EOS_Z1 EOS_Z1,manhattan EOS_Z1,EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1,mungkin saja akan terjadi weather_attribute_SLOT di location_SLOT pada date_SLOT
40,2,"mungkin saja akan terjadi salju di manhattan pada sabtu oke , terima kasih",EOS_Z1 <extra_id_31> EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 - j EOS_Z1 EOS_Z1 <extra_id_55> [value_department],manhattan EOS_Z1,TrendTrend EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1,sama-sama
9,3,,,,,
9,0,saya butuh sebuah garasi parkir disekitar sini,EOS_Z1 harussebuah,disekitar EOS_Z1 distance,<extra_id_53> <extra_id_54> se <extra_id_53> sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah se,"poi_type_SLOT yang lebih distance_SLOT adalah poi_SLOT yang berjarak 1 ,distance_SLOT namun saya memiliki address_SLOT lebih jauh untukmu yaitu poi_SLOT dan parking_garasi_2"
9,1,"garasi parkir yang lebih distance_SLOT adalah poi_SLOT yang berjarak 1 ,distance_SLOT namun saya memiliki address_SLOT lebih jauh untukmu yaitu poi_SLOT dan parking_garasi_2 yang mana yang the lalu lintas tersepi ?",EOS_Z1 [value_department] EOS_Z1 harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus,disekitar EOS_Z1,[value_department] EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1 EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1 EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1 [value_department] EOS_Z1,"poi_SLOT berjarak 1 ,distance_SLOT di address_SLOT dan merupakan yang paling distance_SLOT"
9,2,"poi_SLOT berjarak 1 ,distance_SLOT di address_SLOT dan merupakan yang paling distance_SLOT terima kasih !",EOS_Z1 terima EOS_Z1 EOS_Z1 harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus harus,disekitar EOS_Z1,[value_department] [value_department] [value_department] [value_department] [value_department] EOS_Z1 EOS_Z1 [value_department] [value_department] EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1,sama-sama !
11,3,,,,,
11,0,"bisakah anda menjadwalkan pengingat untuk sepakbola saya di pukul 7 malam tanggal kedelapan , bersama martha ?",EOS_Z1 sepakbola saya ? ? sepakbola saya di tanggal sepakbola saya di tanggal sepakbola saya di sepakbola saya di sepakbola saya di sepakbola saya di sepakbola saya di sepakbola saya,tanggal 8 ; martha ; sepakbola ; pukul 7 malam EOS_Z1,EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1 EOS_Z1,pengingat untuk event_SLOT pada date_SLOT pukul address_SLOT party_SLOT telah diatur
