EVALUATION RESULTS:
bleu,success,match
0.1373344645086682,0.7946127896210138,0.8059701491334372
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
617,6,,,,,
617,0,i want to find a restaurant serves corsica food please .,corsica EOS_Z1,corsica EOS_Z1,there are no food_SLOT restaurants serving food_SLOT food . would you like to try something else ?,we have no matching results .
617,1,we have no matching results .how about gastropub ?,gastropub EOS_Z1,gastropub EOS_Z1,there are two food_SLOT in the area_SLOT part of town . would you like to try something else ?,what part of town would you like ?
617,2,what part of town would you like ?i don't care,,gastropub EOS_Z1,,does the price range matter to you ?
617,3,"does the price range matter to you ?nah , whatever you can find is cool .",,gastropub EOS_Z1,,"there are four results matching your query : backstreet food_SLOT , royal standard , the cow pizza kitchen and bar , and the slug and lettuce ."
617,4,"there are four results matching your query : backstreet bistro , royal standard , the cow pizza kitchen and bar , and the slug and lettuce . what is the address of backstreet bistro ? phone number and post code ?",,gastropub EOS_Z1 address phone postcode,,"the backstreet food_SLOT 's address is 2 sturton street city area_SLOT , postcode is c .b 1 , 2 q .a and the phone number is 01223 306306 . anything else i can help you with ?"
617,5,"the backstreet bistro 's address is 2 sturton street city centre , postcode is c .b 1 , 2 q .a and the phone number is 01223 306306 . anything else i can help you with ?that is all . thank you , goodbye .",,gastropub EOS_Z1,thank you for using the cambridge restaurant system . good bye thank you're there . goodbye . we're there .,enjoy the restaurant and have a nice day . good bye .
631,6,,,,,
631,0,hi . can you help me find an inexpensive restaurant on the west side of town ?,inexpensive west EOS_Z1,cheap west EOS_Z1,there are no restaurants in the area_SLOT part of town . would you like to try something else ?,what type of food would you like ?
631,1,what type of food would you like ?i would like indian food .,indian cheap west EOS_Z1,indian cheap west EOS_Z1,there are no food_SLOT restaurants in the area_SLOT part of town . would you like to try something else ?,i have nothing matching your request . would you like to try another part of town or a different type of cuisine ?
