EVALUATION RESULTS:
bleu,success,match
0.1264793063235985,0.7257383916188646,0.8548387095395421
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
672,5,,,,,
672,0,saya ingin mencari sebuah restoran di bagian selatan kota dan menyediakan makanan skandinavia .,skandinavia selatan EOS_Z1,skandinavia selatan EOS_Z1,tidak ada restoran food_SLOT di area_SLOT kota . apakah kamu ingin mencoba hal lain ?,tidak ada restoran food_SLOT di bagian area_SLOT kota .
672,1,tidak ada restoran skandinavia di bagian selatan kota .bagaimana dengan makanan italia ?,italia selatan EOS_Z1,italia selatan EOS_Z1,ada dua restoran food_SLOT di area_SLOT kota . apakah kamu ingin informasi lebih lanjut mengenai jenis makanan lainnya ?,"iya , kami memiliki dua restoran food_SLOT di daerah area_SLOT . apakah kamu lebih ingin harga yang menengah atau harga yang menengah ?"
672,2,"iya , kami memiliki dua restoran italia di daerah selatan . apakah kamu lebih ingin harga yang menengah atau harga yang menengah ?saya tidak memiliki pilihan . mohon sarannya .",italia menengah tidak peduli selatan EOS_Z1,italia selatan tidak peduli EOS_Z1,"maafkan saya , tidak ada restoran food_SLOT di bagian area_SLOT kota . apakah kamu ingin mencoba informasi lainnya ?","pizza hut cherry hinton adalah sebuah restoran food_SLOT , terletak di bagian area_SLOT kota , dan berada di kisaran harga yang menengah . apakah kamu ingin alamat dan nomor teleponnya ?"
672,3,"pizza hut cherry hinton adalah sebuah restoran italia , terletak di bagian selatan kota , dan berada di kisaran harga yang menengah . apakah kamu ingin alamat dan nomor teleponnya ?dan kodepos ?",italia menengah selatan tidak peduli EOS_Z1 address postcode,italia selatan tidak peduli EOS_Z1 address phone postcode,"kodepos dari pizza hut cherry hinton adalah c .b 1 , 7 d .y dan nomor teleponnya adalah 01223 363471 .","kodeposnya adalah c .b 1 , 7 d .y , nomor teleponnya adalah 01223 323737 , dan alamatnya adalah g4 cambridge leisure park clifton way cherry hinton ."
672,4,"kodeposnya adalah c .b 1 , 7 d .y , nomor teleponnya adalah 01223 323737 , dan alamatnya adalah g4 cambridge leisure park clifton way cherry hinton .bagus , terimakasih",italia menengah selatan tidak peduli EOS_Z1,italia selatan tidak peduli EOS_Z1,"terima kasih , sampai jumpa .","terima kasih , semoga harimu menyenangkan !"
612,5,,,,,
612,0,saya mencari sebuah restoran dengan harga yang menengah dan di bagian utara kota .,menengah utara EOS_Z1,menengah utara EOS_Z1,ada dua restoran yang menengah di area_SLOT kota . apakah kamu ingin informasi lebih lanjut mengenai jenis makanan lainnya ?,golden wok berada di bagian area_SLOT kota dan berada di kisaran harga yang menengah .
612,1,"golden wok berada di bagian utara kota dan berada di kisaran harga yang menengah .tidak saya tidak tertarik dengan golden wok , apakah ada yang lain ?",menengah utara EOS_Z1,menengah utara EOS_Z1,golden wok berada di area_SLOT kota dan berada di rentang harga menengah . apakah kamu ingin informasi lebih lanjut mengenai informasi tambahan ?,the nirala juga terletak di daerah area_SLOT dan dengan harga yang menengah . mereka menyediakan makanan food_SLOT .
612,2,the nirala juga terletak di daerah utara dan dengan harga yang menengah . mereka menyediakan makanan india .bagus ! bisakah saya memiliki nomor telepon dan kodeposnya tolong ?,menengah utara EOS_Z1 phone postcode,menengah utara EOS_Z1 phone postcode,"nomor telepon the nirala adalah 01223 363471 dan kodeposnya adalah c .b 5 , 8 p .a .","the nirala terletak di 7 milton road chesterton . nomor teleponnya adalah 01223 360966 dan kode posnya adalah c .b 4 , 1 u .y . apakah ada hal lain yang bisa saya bantu ?"
612,3,"the nirala terletak di 7 milton road chesterton . nomor teleponnya adalah 01223 360966 dan kode posnya adalah c .b 4 , 1 u .y . apakah ada hal lain yang bisa saya bantu ?itu saja yang saya perlukan . terimakasih .",menengah utara EOS_Z1,menengah utara EOS_Z1,terima kasih sudah menggunakan sistem restoran cambridge . sampai jumpa .,terimakasih telah menggunakan sistem ini dan silahkan hubungi kami lagi . selamat tinggal .
612,4,terimakasih telah menggunakan sistem ini dan silahkan hubungi kami lagi . selamat tinggal .selamat tinggal,menengah utara EOS_Z1,menengah utara EOS_Z1,terima kasih sudah menggunakan sistem kami . sampai jumpa,terimakasih telah menggunakan sistem dari restoran cambridge . selamat tinggal .
622,5,,,,,
622,0,"halo , saya ingin sebuah restoran dengan harga yang menengah .",menengah EOS_Z1,menengah EOS_Z1,ada dua restoran yang menengah yang berada di area_SLOT kota . apakah kamu ingin informasi lebih lanjut ?,terdapat beberapa restoran di kisaran harga yang menengah . apakah kamu memiliki preferensi untuk jenis makanan atau bagian dari kota ?
622,1,terdapat beberapa restoran di kisaran harga yang menengah . apakah kamu memiliki preferensi untuk jenis makanan atau bagian dari kota ?terletak di sisi timur,menengah timur EOS_Z1,menengah timur EOS_Z1,ada dua restoran yang menengah di area_SLOT . apakah kamu ingin informasi lebih lanjut mengenai jenis makanan lainnya ?,"terdapat sebuah restoran food_SLOT dengan harga yang menengah di sisi area_SLOT , apakah kamu ingin alamatnya ?"
622,2,"terdapat sebuah restoran india dengan harga yang menengah di sisi timur , apakah kamu ingin alamatnya ?iya tolong , bisakah saya memiliki alamat , nomor telepon , dan kodepos dari tempatnya ?",menengah timur EOS_Z1 address phone postcode,menengah timur EOS_Z1 address phone postcode,"alamatnya adalah cambridge leisure park clifton way dan kodeposnya adalah c .b 2 , 1 u .j .","alamat dari curry prince adalah 451 newmarket road fen ditton , kodeposnya adalah c .b 5 , 8 j .j . nomor teleponnya adalah 01223 566388"
622,3,"alamat dari curry prince adalah 451 newmarket road fen ditton , kodeposnya adalah c .b 5 , 8 j .j . nomor teleponnya adalah 01223 566388terima kasih .",menengah timur EOS_Z1,menengah timur EOS_Z1,sama sama . sampai jumpa .,sama sama . adakah hal lain yang dapat saya bantu carikan ?
622,4,"sama sama . adakah hal lain yang dapat saya bantu carikan ?itu saja , terimakasih . selamat tinggal .",menengah timur EOS_Z1,menengah timur EOS_Z1,"terima kasih , sampai jumpa .",terima kasih sudah menelepon . selamat tinggal .
646,5,,,,,
646,0,saya mencari sebuah restoran di bagian barat kota .,barat EOS_Z1,barat EOS_Z1,ada dua restoran yang berada di area_SLOT kota . apakah kamu ingin informasi lebih lanjut mengenai jenis makanan lainnya ?,"cambridge lodge restaurant berada di bagian area_SLOT kota , dan mereka menyediakan makanan food_SLOT ."
