EVALUATION RESULTS:
bleu,success,match
0.07768874941899603,0.7204030176870609,0.39999999993333335
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
43,4,,,,,
43,0,dimana saya bisa menemukan sebuah tempat istirahat ?,tempat istirahat EOS_Z1,tempat istirahat EOS_Z1,poi_SLOT berada di address_SLOT,poi_SLOT cukup distance_SLOT
43,1,poi_SLOT cukup distance_SLOT apa alamatnya ?,tempat istirahat EOS_Z1,tempat istirahat EOS_Z1,poi_SLOT berada di address_SLOT,poi_SLOT berada di address_SLOT
43,2,poi_SLOT berada di address_SLOT ok program tolong rute yang tercepat,tempat istirahat EOS_Z1,tempat istirahat EOS_Z1,terima kasih,gps telah diatur menuju poi_SLOT di address_SLOT
43,3,gps telah diatur menuju poi_SLOT di address_SLOT terima kasih,tempat istirahat EOS_Z1,tempat istirahat EOS_Z1,sama-sama,sama-sama
32,4,,,,,
32,0,dimanakah saya dapat ke chinese food ?,chinese EOS_Z1,chinese EOS_Z1,"poi_SLOT berjarak 3 ,distance_SLOT",poi_SLOT dan poi_SLOT dua-duanya cukup distance_SLOT
32,1,poi_SLOT dan poi_SLOT dua-duanya cukup distance_SLOT yang mana yang memiliki jarak terpendek ?,jarak terpendek ; chinese EOS_Z1,chinese EOS_Z1 distance,weather_attribute_SLOT adalah temperature_SLOT,poi_SLOT lebih distance_SLOT
32,2,"poi_SLOT lebih distance_SLOT oke bagus , bolehkah saya mendapatkan alamatnya ?",jarak terpendek ; chinese EOS_Z1,chinese EOS_Z1,"poi_type_SLOT adalah address_SLOT , saya telah mengirimkannya di layarmu untuk kesana","tentu , poi_type_SLOT adalah address_SLOT , kita sedang berjarak 6 ,distance_SLOT , saya telah mengirimkan posisinya di petamu"
32,3,"tentu , alamatnya adalah address_SLOT , kita sedang berjarak 6 ,distance_SLOT , saya telah mengirimkan posisinya di petamu terima kasih mobil !",jarak terpendek ; chinese EOS_Z1,chinese EOS_Z1,sama-sama !,sama-sama
26,4,,,,,
26,0,kapan kita akan bersama untuk aktivitas sepakbola ? siapa saja yang hadir ?,aktivitas sepakbola EOS_Z1 date party,sepakbola EOS_Z1,"anda memiliki dua event_SLOT event_SLOT yang terjadwal . yang pertama pada date_SLOT bersama party_SLOT anda , dan yang lainnya pada date_SLOT bersama party_SLOT",dimengerti
26,1,dimengerti kapan aktivitas sepakbola dan siapa saja yang hadir ?,sepakbola EOS_Z1 date party,sepakbola EOS_Z1 date,"anda memiliki dua event_SLOT event_SLOT yang terjadwal . yang pertama pada date_SLOT bersama party_SLOT anda , yang pertama pada date_SLOT bersama party_SLOT anda , dan yang lainnya pada date_SLOT bersama",apakah anda ingin informasi terkait event_SLOT event_SLOT pada date_SLOT ataupun date_SLOT ?
26,2,apakah anda ingin informasi terkait aktivitas sepakbola pada date_SLOT ataupun jumat ? kamis,sepakbola EOS_Z1 date,aktivitas sepakbola ; kamis EOS_Z1 party,"anda memiliki dua event_SLOT event_SLOT yang terjadwal . yang pertama pada date_SLOT bersama date_SLOT , yang lainnya pada date_SLOT bersama date_SLOT , dan yang lainnya pada date_SLOT bersama date_SLOT",event_SLOT event_SLOT anda selanjutnya akan dilaksanakan pada date_SLOT pukul address_SLOT party_SLOT
