EVALUATION RESULTS:
bleu,success,match
0.0038684946457005075,0.23471538653163648,0.21305841923666466
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
123,1,,,,,
123,0,schedule swimming time,<extra_id_0> swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time swimming time,swimming EOS_Z1,you're welcome . event_SLOT time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time_time,what time do you want to go event_SLOT
191,1,,,,,
191,0,who will be at the meeting friday,<extra_id_0> ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday ; meeting friday,friday ; meeting EOS_Z1 party,you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are welcome . you are,party_SLOT will be at the date_SLOT event_SLOT .
204,1,,,,,
204,0,what time is dinner tonight,<extra_id_0> dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner dinner,dinner EOS_Z1 time,you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome . you're welcome .,your event_SLOT is time_SLOT tonight .
105,1,,,,,
105,0,check the date and time of my doctor 's appointment,<extra_id_0> doctor appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,EOS_Z1 date,you're welcome . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address . address,your appointment is for date_SLOT at 11 am .
323,1,,,,,
323,0,find out when my next conferences,<extra_id_0> conference EOS_Z1 conference EOS_Z1 conference EOS_Z1 conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference ; conference,EOS_Z1 date time,you're welcome . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT .,date_SLOT at time_SLOT
58,1,,,,,
58,0,what day and time is my dental appointment set for ?,<extra_id_0> appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment appointment,dentist appointment EOS_Z1 date time,you're welcome . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment . appointment .,"date_SLOT at time_SLOT with party_SLOT , date_SLOT at time_SLOT with party_SLOT , date_SLOT at time_SLOT with your party_SLOT , date_SLOT at time_SLOT with party_SLOT , and date_SLOT at time_SLOT with your party_SLOT"
41,1,,,,,
41,0,schedule a reminder to take medicine with martha for saturday at 2pm .,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,saturday ; martha ; 2pm EOS_Z1,you're welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome .,your reminder has been set for date_SLOT at time_SLOT to take medicine with party_SLOT .
91,1,,,,,
91,0,siapa yang akan menghadiri aktivitas berenang dan tanggal berapa itu ?,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,berenang EOS_Z1 date party,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,"party_SLOT akan hadir di event_SLOT event_SLOT pada date_SLOT puluh , party_SLOT pada date_SLOT belas , party_SLOT pada date_SLOT , dan party_SLOT pada date_SLOT"
203,1,,,,,
203,0,what time do i take my medicine and who is attending ?,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,taking medicine EOS_Z1 event party time,you are welcome . i take your medicine . i take your medicine . i take your medicine . i take your medicine . i take your medicine . i take your medicine . i take your medicine . i take your,currently you are event_SLOT on two occasions . one is on date_SLOT at time_SLOT with your party_SLOT the other is on date_SLOT at address_SLOT party_SLOT
189,1,,,,,
189,0,what is the date and time of my next meeting,<extra_id_0> ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting ; next meeting,EOS_Z1,you are welcome . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next event_SLOT . next,your next event_SLOT is date_SLOT at 3 pm .
54,1,,,,,
54,0,schedule taking medicine at 6 pm on the 13th of next month with my brother .,<extra_id_0> ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th ; 7th,13th ; brother ; taking medicine ; 6pm EOS_Z1 time,you're welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome . i welcome .,event_SLOT with your party_SLOT at time_SLOT on date_SLOT has been scheduled .
221,1,,,,,
221,0,what is the agenda of my meeting today,<extra_id_0> ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,friday ; meeting EOS_Z1 agenda,you are welcome . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT event_SLOT . poi_type_SLOT,your agenda for your event_SLOT weekly_time_SLOT_time_SLOT is agenda_SLOT
188,1,,,,,
