EVALUATION RESULTS:
bleu,success,match
0.128923977909822,0.7010676107689521,0.7378277153281713
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
214,2,,,,,
214,0,give me the location for the nearest starbucks,EOS_Z1,EOS_Z1,the nearest poi_SLOT is poi_SLOT and is distance_SLOT away .,there are no poi_SLOT around here but we're distance_SLOT away from poi_SLOT : is it okay to go there ?
214,1,"there are no starbucks around here but we're distance_SLOT away from cafe venetia : is it okay to go there ? sure , just pick the fastest route for me , thanks !",EOS_Z1,EOS_Z1,you're welcome !,"i sent the address with the fastest route on screen , drive carefully !"
172,2,,,,,
172,0,i need the quickest route to a pizza restaurant near me .,pizza restaurant EOS_Z1,pizza EOS_Z1,poi_SLOT is distance_SLOT away at address_SLOT and there is traffic_info_SLOT on the route .,there isn't any traffic to poi_SLOT at address_SLOT it will be a distance_SLOT drive .
172,1,there isn't any traffic to poi_SLOT at address_SLOT it will be a distance_SLOT drive . pick the quickest route and let 's go there please,pizza restaurant EOS_Z1,pizza EOS_Z1,the quickest route is to address_SLOT address_SLOT is at address_SLOT at address_SLOT,quickest route with traffic_info_SLOT set for poi_SLOT have a great day .
124,2,,,,,
124,0,set a reminder for me to take my medicine at 9am on sunday with by brother frank .,sunday ; brother frank ; take medicine ; 9am EOS_Z1,sunday ; brother ; 9am EOS_Z1,"okay , setting a reminder for your medicine with party_SLOT frank on date_SLOT at time_SLOT .","okay , setting a reminder to take medicine with your party_SLOT frank at address_SLOT date_SLOT ."
124,1,"okay , setting a reminder to take medicine with your brother frank at address_SLOT sunday . thank you",sunday ; brother frank ; take medicine ; 9am EOS_Z1,sunday ; 9am EOS_Z1,you're welcome .,no problem !
56,2,,,,,
56,0,when 's my tennis match,tennis EOS_Z1,tennis ; 11am EOS_Z1 time,you are welcome,your event_SLOT match is date_SLOT at time_SLOT
56,1,your tennis match is date_SLOT at time_SLOT okay great . thank you .,tennis EOS_Z1,tennis ; 11am ; tuesday EOS_Z1,you're welcome !,you're very welcome .
136,2,,,,,
136,0,will there be clear skies in san francisco on friday ?,clear skies ; friday ; san francisco EOS_Z1,friday ; san francisco EOS_Z1 weather_attribute,there will be weather_attribute_SLOT in location_SLOT on date_SLOT .,on date_SLOT on location_SLOT the weather will be weather_attribute_SLOT with a high of temperature_SLOT .
136,1,on friday on san francisco the weather will be weather_attribute_SLOT with a high of temperature_SLOT . thanks .,clear skies ; friday ; san francisco EOS_Z1,friday ; san francisco EOS_Z1,you're welcome .,anytime .
171,2,,,,,
171,0,can you give me the weather this week for new york city,new york city EOS_Z1,EOS_Z1,what city would you like the weather for ?,"in location_SLOT , it will be weather_attribute_SLOT date_SLOT and date_SLOT , weather_attribute_SLOT date_SLOT , weather_attribute_SLOT on date_SLOT , weather_attribute_SLOT on date_SLOT , weather_attribute_SLOT on date_SLOT , and weather_attribute_SLOT on date_SLOT ."
171,1,"in new york , it will be raining monday and tuesday , snowing wednesday , weather_attribute_SLOT on thursday , weather_attribute_SLOT on friday , weather_attribute_SLOT on saturday , and weather_attribute_SLOT on sunday . then no clear skies for me , i'm sad . . thank you car !",new york city EOS_Z1,EOS_Z1,you're welcome !,you're welcome . . patience !
25,2,,,,,
25,0,schedule conference with sales team on the 11th of this month 9am,11th ; sales team ; conference ; 9am EOS_Z1,11th ; sales team ; conference ; 9am EOS_Z1,i have scheduled a event_SLOT with party_SLOT on the date_SLOT of this month at address_SLOT with party_SLOT .,"okay , scheduling a event_SLOT with the party_SLOT at time_SLOT on the date_SLOT of this month ."
25,1,"okay , scheduling a conference with the sales team at 9am on the 11th of this month . thanks .",11th ; sales team ; conference ; 9am EOS_Z1,11th ; sales team ; conference ; 9am EOS_Z1,you're welcome .,you are welcome .
46,2,,,,,
46,0,will there be clear skies in danville on thursday ?,clear skies ; thursday ; danville EOS_Z1,clear skies ; thursday ; danville EOS_Z1 weather_attribute,there will be no weather_attribute_SLOT in location_SLOT on date_SLOT .,weather_attribute_SLOT is predicted in location_SLOT on date_SLOT
46,1,weather_attribute_SLOT is predicted in danville on thursday thank you !,clear skies ; thursday ; danville EOS_Z1,clear skies ; thursday ; danville EOS_Z1,you're welcome !,anytime !
281,2,,,,,
281,0,what time is my lab appointment and who will be attending ?,lab appointment EOS_Z1 date party,lab appointment EOS_Z1 party,you have two event_SLOT scheduled . one on date_SLOT with party_SLOT at time_SLOT with party_SLOT and one on date_SLOT with party_SLOT,your event_SLOT is at address_SLOT party_SLOT and another one at address_SLOT party_SLOT
281,1,your lab appointment is at address_SLOT party_SLOT and another one at address_SLOT party_SLOT thanks !,lab appointment EOS_Z1,lab appointment EOS_Z1,you're welcome !,my pleasure .
295,2,,,,,
295,0,what is the date and time for my yoga activity ?,yoga activity EOS_Z1 date time,yoga activity EOS_Z1 date time,you have two event_SLOT activities scheduled . one on the date_SLOT at time_SLOT at time_SLOT with party_SLOT,you have two event_SLOT activities scheduled . one on date_SLOT at time_SLOT and another on the date_SLOT at time_SLOT
295,1,you have two yoga activities scheduled . one on date_SLOT at time_SLOT and another on the date_SLOT at time_SLOT thank you .,yoga activity EOS_Z1,yoga activity EOS_Z1,you're welcome .,have a great day .
213,2,,,,,
213,0,where is the nearest hospital that we can get to quick ?,hospital EOS_Z1,hospital EOS_Z1 traffic_info,there is a poi_SLOT distance_SLOT away .,"poi_SLOT is distance_SLOT away , though there is a traffic_info_SLOT would you like directions there ?"
213,1,"poi_SLOT is distance_SLOT away , though there is a traffic_info_SLOT would you like directions there ? yes sounds great .",hospital EOS_Z1,hospital EOS_Z1,you're welcome !,"okay , heading to address_SLOT real"
220,2,,,,,
220,0,"car , find out the time and parties attending for my tennis activity .",tennis activity EOS_Z1 party,tennis activity EOS_Z1 party,you're welcome !,your event_SLOT is set for address_SLOT party_SLOT in attendance .
220,1,your tennis activity is set for address_SLOT party_SLOT in attendance . thanks,EOS_Z1,tennis activity EOS_Z1,you're welcome .,happy to help
251,2,,,,,
251,0,when is the football game,football EOS_Z1,football EOS_Z1 date,the event_SLOT game is at address_SLOT it is at address_SLOT,the event_SLOT game is date_SLOT at 10 am .
251,1,the football game is date_SLOT at 10 am . thank you .,football EOS_Z1,football ; wednesday ; 10am EOS_Z1,you're welcome !,my pleasure
47,2,,,,,
