EVALUATION RESULTS:
bleu,success,match
0.15830664661649013,0.7874601437853891,0.7651515151225321
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
238,4,,,,,
238,0,find me a hotel that is near my location .,near EOS_Z1,near EOS_Z1,the distance_SLOT weather_attribute_SLOT is poi_SLOT at address_SLOT,poi_SLOT is distance_SLOT away .
238,1,poi_SLOT is distance_SLOT away . please pick a quick route to go there,near EOS_Z1,EOS_Z1,"i sent the info on your screen , drive carefully !",navigating to poi_SLOT
238,2,navigating to poi_SLOT thanks ! what is the address ?,near EOS_Z1,EOS_Z1,"the address is address_SLOT , distance_SLOT away with traffic_info_SLOT on our way",the address is address_SLOT real
238,3,the address is address_SLOT real ok set the gps please . thanks for the help .,near EOS_Z1,EOS_Z1,you're welcome .,"you're welcome , happy to be of assistance ."
264,4,,,,,
264,0,closest coffee,coffee EOS_Z1,coffee or tea place EOS_Z1,there is a poi_SLOT distance_SLOT away .,"the distance_SLOT poi_type_SLOT place is poi_SLOT but there is traffic_info_SLOT , would you like a different location ?"
264,1,"the closest coffee place is poi_SLOT but there is heavy traffic , would you like a different location ? is there any available ?",coffee EOS_Z1,coffee or tea place EOS_Z1,there is a poi_SLOT distance_SLOT away and there is traffic_info_SLOT on our way,poi_SLOT at address_SLOT is distance_SLOT away with traffic_info_SLOT
264,2,poi_SLOT at address_SLOT is distance_SLOT away with traffic_info_SLOT please direct me there via the shortest distance .,shortest ; coffee EOS_Z1,coffee or tea place ; shortest EOS_Z1,the distance_SLOT poi_type_SLOT shop is located at address_SLOT real .,sending you direction now .
264,3,sending you direction now . thank you car !,shortest ; coffee EOS_Z1,coffee or tea place ; shortest EOS_Z1,you're welcome !,you're welcome
86,4,,,,,
86,0,find starbucks,EOS_Z1,EOS_Z1,there is no poi_SLOT distance_SLOT,the distance_SLOT poi_SLOT is distance_SLOT away . there is traffic_info_SLOT on its way so i already sent on your screen another route to reach faster
86,1,the distance_SLOT starbucks is distance_SLOT away . there is traffic_info_SLOT on its way so i already sent on your screen another route to reach faster is is the quickest one available ? i really need my morning coffee !,EOS_Z1,quickest EOS_Z1,"i sent the info on your screen , you're welcome !","yes , it is , hope you can have your poi_type_SLOT soon !"
86,2,"yes , it is , hope you can have your coffee soon ! where is the starbucks ?",coffee EOS_Z1,coffee or tea place EOS_Z1,the distance_SLOT poi_type_SLOT shop is poi_SLOT at address_SLOT,the poi_SLOT is located at address_SLOT setting navigation now .
86,3,the starbucks is located at address_SLOT setting navigation now . thank you .,coffee EOS_Z1,coffee or tea place EOS_Z1,you're welcome .,"you're welcome; drive safely , and enjoy ."
45,2,,,,,
45,0,schedule a swimming activity on monday the 1st with my father at 4pm .,monday ; father ; swimming activity ; 4pm EOS_Z1,monday ; father ; swimming activity ; 4pm EOS_Z1,"okay , i am scheduling a event_SLOT with your party_SLOT at time_SLOT on date_SLOT date_SLOT with your party_SLOT .",i will promptly schedule a event_SLOT on date_SLOT date_SLOT with your party_SLOT at time_SLOT .
45,1,i will promptly schedule a swimming activity on monday the 1st with your father at 4pm . thanks .,monday ; father ; swimming activity ; 4pm EOS_Z1,monday ; father ; swimming activity ; 4pm EOS_Z1,you are welcome .,you're welcome .
81,4,,,,,
81,0,what is the weather going to be like tomorrow show me the 7 day forecast,tomorrow EOS_Z1,tomorrow EOS_Z1,what city would you like the forecast for ?,what city are you interested in ?
81,1,what city are you interested in ? fresno : there will be hail tomorrow ?,hail ; tomorrow ; fresno EOS_Z1,tomorrow ; hail ; fresno EOS_Z1 weather_attribute,there will be no weather_attribute_SLOT in the forecast for location_SLOT weekly_time_SLOT_time_SLOT .,party_SLOT in location_SLOT it will weather_attribute_SLOT
81,2,tomorrow in fresno it will weather_attribute_SLOT so no hail tomorrow in fresno ?,hail ; tomorrow ; fresno EOS_Z1,tomorrow ; hail ; fresno EOS_Z1 weather_attribute,"no , it 's not gonna be weather_attribute_SLOT in location_SLOT party_SLOT","no weather_attribute_SLOT in location_SLOT , party_SLOT there will be weather_attribute_SLOT"
81,3,"no hail in fresno , tomorrow there will be weather_attribute_SLOT thanks .",hail ; tomorrow ; fresno EOS_Z1,tomorrow ; hail ; fresno EOS_Z1,you're welcome .,until next time !
297,4,,,,,
297,0,i'm in the mood for some tea can you show me directions to the nearest cafe,nearest EOS_Z1,nearest EOS_Z1,the distance_SLOT cafe is poi_SLOT at address_SLOT,here are directions to poi_SLOT
297,1,here are directions to poi_SLOT hope it doesn't have any traffic .,nearest EOS_Z1 traffic_info,nearest EOS_Z1 traffic_info,there is traffic_info_SLOT on our way but it 's just distance_SLOT away and it shouldn't take too long to reach,"unfortunately there is traffic_info_SLOT but it 's just distance_SLOT away , you should be able to reach it quickly anyway"
