EVALUATION RESULTS:
bleu,success,match
0.22751622494310936,0.8297520611135306,0.8384615383970414
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
1292,4,,,,,
1292,0,"hai , saya sedang mencari restoran yang menengah yang berada di bagian timur kota .",menengah timur EOS_Z1,menengah timur EOS_Z1,ada beberapa restoran yang berada di area_SLOT kota yang menyediakan makanan food_SLOT . apakah kamu memiliki preferensi pada jenis makanan ataupun rentang harganya ?,apakah kamu ingin curry prince ?
1292,1,apakah kamu ingin curry prince ?apakah ada hal lainnya ?,menengah timur EOS_Z1,menengah timur EOS_Z1,curry prince berada di area_SLOT kota dan memiliki harga yang menengah . apakah kamu ingin informasi lebih lanjut terkait mereka ?,"ada dua restoran yang menengah lainnya di daerah area_SLOT , yaitu pizza hut fen ditton yang menyediakan makanan food_SLOT , dan rajmahal , restoran food_SLOT lainnya ."
1292,2,"ada dua restoran yang menengah lainnya di daerah timur , yaitu pizza hut fen ditton yang menyediakan makanan italia , dan rajmahal , restoran india lainnya .apa alamat , nomor , dan jenis makanan salah satu dari mereka ?",menengah timur EOS_Z1 address food phone,menengah timur EOS_Z1 address food phone,pizza hut fen ditton menyediakan makanan food_SLOT dan berada di area_SLOT kota . nomor teleponnya adalah 01223 241387 .,rajmahal adalah restoran food_SLOT . mereka berada di 7 barnwell road fen ditton dan nomornya adalah 01223 244955 .
1292,3,rajmahal adalah restoran india . mereka berada di 7 barnwell road fen ditton dan nomornya adalah 01223 244955 .terima kasih . sampai jumpa .,menengah timur EOS_Z1,menengah timur EOS_Z1,"terima kasih , sampai jumpa .",terima kasih dan semoga harimu menyenangkan !
1285,4,,,,,
1285,0,yes . i am looking for a moderately priced restaurant in the west part of town .,moderate west EOS_Z1,moderate west EOS_Z1,there are several pricerange_SLOT priced restaurants in the area_SLOT part of town . do you have a preference for the type of food ?,"would you prefer food_SLOT , food_SLOT , or food_SLOT food ?"
1285,1,"would you prefer british , indian , or italian food ?indian , please .",indian moderate west EOS_Z1,indian moderate west EOS_Z1,curry prince is a food_SLOT restaurant in the area_SLOT part of town and is in the pricerange_SLOT price range . would you like their location ?,meghna is an food_SLOT restaurant . would you like the phone number ?
1285,2,"meghna is an indian restaurant . would you like the phone number ?yes , please . and also the address .",indian moderate west EOS_Z1 address phone,indian moderate west EOS_Z1 address phone,meghna 's phone number is 01223 727410 and they are located at 205 victoria road chesterton . is there anything else i can help you with ?,the address is 205 victoria road chesterton and the phone number is 01223 727410 .
1285,3,the address is 205 victoria road chesterton and the phone number is 01223 727410 .thank you goodbye .,indian moderate west EOS_Z1,indian moderate west EOS_Z1,thank you for using the cambridge restaurant system . goodbye .,thank you . have a nice day !
1246,4,,,,,
1246,0,can you help me find a russian restaurant ?,russian EOS_Z1,russian EOS_Z1,there are no food_SLOT restaurants . would you like to try something else ?,"i'm sorry , there are food_SLOT restaurants . do you have a secondary choice ?"
1246,1,"i'm sorry , there are russian restaurants . do you have a secondary choice ?yes , what about european type food ?",european EOS_Z1,european EOS_Z1,there are two food_SLOT restaurants . do you have a preference for the area ?,please wait a moment while i check for food_SLOT restaurants for you
1246,2,"please wait a moment while i check for european restaurants for youif you find a european restaurant , i would also like the address and phone number .",european EOS_Z1 address phone,european EOS_Z1 address phone,galleria is located at 33 bridge street city area_SLOT and the phone number is 01223 362456 .,"cambridge lodge restaurant serves food_SLOT food , their phone number is 01223 355166 and address is cambridge lodge hotel 139 huntingdon road city area_SLOT"
1246,3,"cambridge lodge restaurant serves european food , their phone number is 01223 355166 and address is cambridge lodge hotel 139 huntingdon road city centrethank you . good bye .",european EOS_Z1,european EOS_Z1,thank you and good bye,thank you good bye
1220,4,,,,,
1220,0,i want to find a cheap restaurant serving swedish food,swedish cheap EOS_Z1,swedish cheap EOS_Z1,"i'm sorry , there are no restaurants serving food_SLOT food . would you like to try something else ?","i'm sorry , i can't find any pricerange_SLOT food_SLOT restaurants . would you like to look for a different style of food , or increase your price range ?"
1220,1,"i'm sorry , i can't find any cheap swedish restaurants . would you like to look for a different style of food , or increase your price range ?how about indian food ?",indian cheap EOS_Z1,indian cheap EOS_Z1,there are two restaurants that serve food_SLOT food . do you have a preference ?,"there are three pricerange_SLOT food_SLOT restaurants in the area_SLOT part of town , or royal spice is a pricerange_SLOT food_SLOT restaurant in the area_SLOT . do any of these interest you ?"
1220,2,"there are three cheap indian restaurants in the centre part of town , or royal spice is a cheap indian restaurant in the north . do any of these interest you ?yes , what is the address for royal spice please ?",indian cheap centre EOS_Z1 address,indian cheap EOS_Z1 address,royal spice is located at victoria avenue chesterton . is there anything else i can help you with ?,royal spice is located at victoria avenue chesterton . do you need any other information ?
