EVALUATION RESULTS:
bleu,success,match
0.17503278771836506,0.7930056660790549,0.7594501717952079
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
276,3,,,,,
276,0,i need the address to my friend 's house please .,EOS_Z1,friends house EOS_Z1,party_SLOT lives at address_SLOT ave .,poi_SLOT is located at address_SLOT ave .
276,1,poi_SLOT is located at address_SLOT ave . could you please send on my screen the fastest route to get there ?,EOS_Z1,friends house EOS_Z1,the fastest route to poi_SLOT is distance_SLOT away .,"poi_type_SLOT . setting navigation details now . there 's a traffic_info_SLOT , so take care on the roads ."
276,2,"certainly . setting navigation details now . there 's a car collision nearby , so take care on the roads . will do , thank you .",nearby EOS_Z1,friends house EOS_Z1,"you're welcome , have a great day .",you're welcome !
242,3,,,,,
242,0,will it be warm in grand rapids on saturday ?,warm ; saturday ; grand rapids EOS_Z1,warm ; saturday ; grand rapids EOS_Z1,it will not be weather_attribute_SLOT in location_SLOT on date_SLOT .,it will not be weather_attribute_SLOT in location_SLOT on date_SLOT .
242,1,it will not be warm in grand rapids on saturday . thank you .,warm ; saturday ; grand rapids EOS_Z1,warm ; saturday ; grand rapids EOS_Z1,you are welcome .,you are welcome .
242,2,you are welcome . bye .,warm ; saturday ; grand rapids EOS_Z1,warm ; saturday ; grand rapids EOS_Z1,bye,no problem .
172,3,,,,,
172,0,find me the quickest route to the grocery store .,quickest ; grocery store EOS_Z1,grocery store EOS_Z1,the distance_SLOT route to poi_SLOT is distance_SLOT away .,poi_SLOT is the distance_SLOT poi_type_SLOT distance_SLOT away
172,1,"poi_SLOT is the closest grocery store distance_SLOT away ok , please give me the address and directions via the quickest route .",grocery store EOS_Z1,grocery store EOS_Z1 traffic_info,poi_SLOT is at address_SLOT and the distance_SLOT is distance_SLOT away .,"setting navigation to address_SLOT now . there is traffic_info_SLOT distance_SLOT , so drive carefully ."
172,2,"setting navigation to address_SLOT now . there is traffic_info_SLOT nearby , so drive carefully . thank you .",grocery store EOS_Z1,grocery store EOS_Z1,you're welcome !,no problem
151,3,,,,,
151,0,please let me know the weather forecast for tomorrow,tomorrow EOS_Z1,tomorrow EOS_Z1,what city do you want the weather for ?,what city are you interested in the forecast for ?
151,1,what city are you interested in the forecast for ? los angeles .,tomorrow ; los angeles EOS_Z1,tomorrow ; los angeles EOS_Z1,the forecast does not show that it will be weather_attribute_SLOT in location_SLOT party_SLOT .,"it will weather_attribute_SLOT in location_SLOT party_SLOT , with a low of temperature_SLOT and a high of temperature_SLOT ."
151,2,"it will weather_attribute_SLOT in los angeles tomorrow , with a low of temperature_SLOT and a high of temperature_SLOT . thank you .",tomorrow ; los angeles EOS_Z1,tomorrow ; los angeles EOS_Z1,you are welcome .,no problem .
63,3,,,,,
63,0,please give me the address and directions via the shortest distance to the nearest pizza place .,shortest ; pizza restaurant EOS_Z1,shortest ; pizza restaurant EOS_Z1,the poi_SLOT is distance_SLOT away at address_SLOT with traffic_info_SLOT on our way,"the distance_SLOT is poi_type_SLOT chicago , distance_SLOT away at address_SLOT would you like directions there ?"
63,1,"the closest is pizza chicago , distance_SLOT away at address_SLOT would you like directions there ? yes , please show me the route with the shortest distance , thank you !",shortest ; pizza restaurant EOS_Z1,shortest ; pizza restaurant EOS_Z1 poi,"i sent the info on your screen , drive carefully !",here is the distance_SLOT route to poi_SLOT
63,2,here is the shortest route to poi_SLOT thank you car !,shortest ; pizza restaurant EOS_Z1,shortest ; pizza restaurant EOS_Z1,you're welcome !,you're welcome !
49,3,,,,,
49,0,will the weather be cloudy next week,cloudy ; next week EOS_Z1,cloudy ; next week EOS_Z1,what city do you want the weather for ?,"okay , what city should i look in ?"
49,1,"okay , what city should i look in ? grand rapids",cloudy ; next week ; grand rapids EOS_Z1,cloudy ; next week ; grand rapids EOS_Z1,it will not be weather_attribute_SLOT in location_SLOT weekly_time_SLOT_time_SLOT .,during the weekly_time_SLOT it will be weather_attribute_SLOT in location_SLOT only weekly_time_SLOT_time_SLOT
49,2,during the week it will be cloudy in grand rapids only today thanks .,cloudy ; next week ; grand rapids EOS_Z1,cloudy ; next week ; grand rapids EOS_Z1,you're welcome .,glad i could help out
57,3,,,,,
57,0,navigate home,home EOS_Z1,EOS_Z1,navigating you poi_type_SLOT .,poi_type_SLOT is distance_SLOT away at address_SLOT
